source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Thank you Springfield Ohio. Get out and #VoteTrumpPence16!#ICYMI - watch here: https://t.co/dEoXV6oS3b… https://t.co/RNgCUUqO4X,10-27-2016 19:26:05,7306,17323,false,791722658358439936
Twitter for iPhone,Join me live in Springfield Ohio!https://t.co/LREA7WRmOx,10-27-2016 17:45:20,4454,12618,false,791697302519947264
Twitter for iPhone,Inside ‘Bill Clinton Inc.’: Hacked memo reveals intersection of charity and personal income. #DrainTheSwamp!https://t.co/UfDVzeSDfd,10-27-2016 14:49:59,13148,21471,false,791653174994202624
Twitter for iPhone,JOIN ME! #MAGATODAY:Springfield OH Toledo OH Geneva OH FRIDAY:Manchester NH Lisbon ME Cedar Rapids IAhttps://t.co/kv624y9UOm,10-27-2016 14:44:46,7231,17528,false,791651860889427968
Twitter for iPhone,I agree @MMFlint- To all Americans I see you &amp; I hear you. I am your voice. Vote to #DrainTheSwamp w/ me on 11/8. https://t.co/D7nBwkogBb,10-27-2016 14:32:59,11854,24562,false,791648893725450240
Twitter for iPhone,"Clinton Foundation’s Fundraisers Pressed Donors to Steer Business to Former President"https://t.co/PlFILR6JCn,10-27-2016 14:12:42,9239,15416,false,791643789609865216
Twitter for iPhone,Ron Fournier: "Clinton Used Secret Server To Protect #CircleOfEnrichment”https://t.co/4OGP3tPxyp,10-27-2016 14:10:38,8579,15000,false,791643269109350400
Twitter for iPhone,'WikiLeaks Drip-Drop Releases Prove One Thing: There's No Nov. 8 Deadline on Clinton's Dishonesty and Scandals'https://t.co/MfRy3Nvd4F,10-27-2016 14:08:15,12505,23293,false,791642669256769536
Twitter for Android,A lot of call-ins about vote flipping at the voting booths in Texas. People are not happy. BIG lines. What is going on?,10-27-2016 13:01:12,19800,40090,false,791625798792974336
Twitter for iPhone,Obamacare is a disaster. We must REPEAL &amp; REPLACE. Tired of the lies and want to #DrainTheSwamp? Get out &amp; VOTE… https://t.co/jOelj829Pg,10-27-2016 12:17:57,14764,30570,false,791614912833449984
Twitter for iPhone,RT @EricTrump: Tune into @GMA right now to catch a great interview with my father &amp; the entire family! 🇺🇸 #VoteTrumpPence16 https://t.co/Sa…,10-27-2016 12:16:35,5343,0,true,791614568275570688
Twitter for iPhone,Beautiful evening in Kinston North Carolina - thank you! Get out and VOTE!! You can watch tonight's rally here:… https://t.co/x7wtERl55d,10-27-2016 01:57:51,9906,25510,false,791458860930392065
Twitter for iPhone,Thank you Charlotte North Carolina. Great afternoon! #ICYMI - I delivered a speech on urban renewal. Full speech:… https://t.co/ga6DQZrIR0,10-27-2016 01:52:45,10702,26373,false,791457576030535680
Twitter for iPad,Hillary said she was under sniper fire (while surrounded by USSS.) Turned out to be a total lie. She is not fit to… https://t.co/hBIrGj21l6,10-26-2016 21:59:15,36861,69489,false,791398814049456128
Twitter for iPhone,JOIN ME IN OHIO TOMORROW!Springfield-1pm:https://t.co/YcbpSigtvaToledo-4pm:https://t.co/BOJH0l1CZzGeneva-7pm… https://t.co/7qbIRel33u,10-26-2016 18:49:49,8265,17845,false,791351142760321024
